0,Cornstarch,100 g,381,0.1 g,91.27 g,0.9 g,0 g,0 g,0 g,0.05 g,0.09 g,0 mg,8.32 g
1,"Nuts, pecans",100 g,691,72 g,13.86 g,9.6 g,3.97 g,0.04 g,0  g,71.97 g,1.49 g,0 mg,3.52 g
2,"Eggplant, raw",100 g,25,0.2 g,5.88 g,3.0 g,3.53 g,1.58 g,0 g,0.18 g,0.66 g,0 mg,92.30 g
3,"Teff, uncooked",100 g,367,2.4 g,73.13 g,8.0 g,1.84 g,0.73 g,0  g,2.38 g,2.37 g,0 mg,8.82 g
4,"Sherbet, orange",100 g,144,2 g,30.40 g,1.3 g,24.32 g,0 g,0 g,2.00 g,0.40 g,0 mg,66.10 g
5,"Cauliflower, raw",100 g,25,0.3 g,4.97 g,2.0 g,1.91 g,0.94 g,0  g,0.28 g,0.76 g,0 mg,92.07 g
6,"Taro leaves, raw",100 g,42,0.7 g,6.70 g,3.7 g,3.01 g,0 g,0 g,0.74 g,1.92 g,0 mg,85.66 g
7,"Lamb, raw, ground",100 g,282,23 g,0.00 g,0 g,0 g,0 g,0 g,23.41 g,0.87 g,0 mg,59.47 g
8,"Cheese, camembert",100 g,300,24 g,0.46 g,0 g,0.46 g,0 g,0 g,24.26 g,3.68 g,0 mg,51.80 g
9,Vegetarian fillets,100 g,290,18 g,9.00 g,6.1 g,0.80 g,0 g,0 g,18.00 g,5.00 g,0 mg,45.00 g
10,"PACE, Picante Sauce",100 g,25,0 g,6.25 g,3.1 g,6.25 g,0 g,0 g,0.00 g,3.85 g,0 mg,89.90 g
11,"Goji berries, dried",100 g,349,0.4 g,77.06 g,13.0 g,45.61 g,0 g,0 g,0.39 g,0.78 g,0 mg,7.50 g
12,"Mango nectar, canned",100 g,51,0.1 g,13.12 g,0.3 g,12.45 g,5.31 g,0  g,0.06 g,0.08 g,0 mg,86.63 g
13,"Crackers, rusk toast",100 g,407,7.2 g,72.30 g,0 g,0 g,0 g,0 g,7.20 g,1.20 g,0 mg,5.50 g
14,"Chicken, boiled, feet",100 g,215,15 g,0.20 g,0 g,0 g,0 g,0 g,14.60 g,0.00 g,0 mg,65.80 g
15,"Quail, raw, meat only",100 g,134,4.5 g,0.00 g,0 g,0 g,0 g,0 g,4.53 g,1.32 g,0 mg,70.03 g
16,"Pie, lemon, fried pies",100 g,316,16 g,42.60 g,2.6 g,0 g,0 g,0 g,16.10 g,1.10 g,0 mg,37.60 g
17,"Peppers, raw, jalapeno",100 g,29,0.4 g,6.50 g,2.8 g,4.12 g,1.48 g,0  g,0.37 g,0.53 g,0 mg,91.69 g
18,"Winged bean tuber, raw",100 g,148,0.9 g,28.10 g,0 g,0 g,0 g,0 g,0.90 g,2.00 g,0 mg,57.40 g
19,"Salami, turkey, cooked",100 g,172,9.2 g,1.55 g,0.1 g,1.12 g,0 g,0 g,9.21 g,1.68 g,0 mg,68.80 g
20,"Grapes, raw, muscadine",100 g,57,0.5 g,13.93 g,3.9 g,0 g,3.67 g,0  g,0.47 g,0.50 g,0 mg,84.29 g
21,"Nuts, raw, ginkgo nuts",100 g,182,1.7 g,37.60 g,0 g,0 g,0 g,0 g,1.68 g,1.20 g,0 mg,55.20 g
22,"Spices, ground, savory",100 g,272,5.9 g,68.73 g,0 g,0 g,0 g,0 g,5.91 g,9.63 g,0 mg,9.00 g
23,"Candies, sesame crunch",100 g,516,33 g,50.30 g,7.7 g,31.17 g,0 g,0 g,33.30 g,2.60 g,0 mg,2.20 g
24,"Cheese, low fat, cream",100 g,201,15 g,8.13 g,0 g,5.82 g,0.00 g,5.82 g,15.28 g,2.03 g,0 mg,66.72 g
25,"PACE, Green Taco Sauce",100 g,25,0 g,6.25 g,0 g,6.25 g,0 g,0 g,0.00 g,3.05 g,0 mg,90.70 g
26,"Syrup, Canadian, maple",100 g,270,0 g,67.38 g,0 g,59.92 g,0.65 g,0  g,0.00 g,0.47 g,0 mg,32.15 g
27,"Ostrich, raw, top loin",100 g,119,3 g,0.00 g,0 g,0 g,0 g,0 g,2.95 g,0.73 g,0 mg,75.35 g
28,"Chewing gum, sugarless",100 g,268,0.4 g,94.80 g,2.4 g,0 g,0 g,0 g,0.40 g,1.30 g,0 mg,3.50 g
29,"Nuts, dried, pine nuts",100 g,673,68 g,13.08 g,3.7 g,3.59 g,0.07 g,0  g,68.37 g,2.59 g,0 mg,2.28 g
30,"Pasta, unenriched, dry",100 g,371,1.5 g,74.67 g,3.2 g,2.67 g,0.12 g,0  g,1.51 g,0.88 g,0 mg,9.90 g
31,"McDONALD'S, Side Salad",100 g,20,0.2 g,4.30 g,1.6 g,2.24 g,0.92 g,0  g,0.19 g,0.54 g,0 mg,93.93 g
32,"Cookies, Marie biscuit",100 g,406,11 g,70.54 g,3.5 g,21.16 g,0 g,0 g,10.58 g,2.03 g,0 mg,9.79 g
33,"Broccoli, raw, chinese",100 g,30,0.8 g,4.67 g,2.6 g,0.88 g,0 g,0 g,0.76 g,0.83 g,0 mg,92.55 g
34,"McDONALD'S, Hash Brown",100 g,271,16 g,28.56 g,2.8 g,0.54 g,0.30 g,0  g,16.30 g,2.25 g,0 mg,50.42 g
35,"Agave, raw (Southwest)",100 g,68,0.2 g,16.23 g,6.6 g,2.58 g,1.19 g,0  g,0.15 g,1.27 g,0 mg,81.83 g
36,"Emu, raw, outside drum",100 g,103,0.5 g,0.00 g,0 g,0 g,0 g,0 g,0.48 g,1.00 g,0 mg,74.87 g
37,"Nuts, dried, beechnuts",100 g,576,50 g,33.50 g,0 g,0 g,0 g,0 g,50.00 g,3.70 g,0 mg,6.60 g
38,"Currants, dried, zante",100 g,283,0.3 g,74.08 g,6.8 g,67.28 g,0 g,0 g,0.27 g,2.36 g,0 mg,19.21 g
39,"Lentils, raw, sprouted",100 g,106,0.6 g,22.14 g,0 g,0 g,0 g,0 g,0.55 g,1.00 g,0 mg,67.34 g
40,"Gravy, mix, dry, onion",100 g,322,3 g,67.64 g,6.0 g,0 g,0 g,0 g,3.00 g,16.00 g,0 mg,4.36 g
41,"Pie, fruit, fried pies",100 g,316,16 g,42.60 g,2.6 g,21.40 g,0 g,0 g,16.10 g,1.10 g,0 mg,37.60 g
42,"Snacks, cakes, popcorn",100 g,384,3.1 g,80.10 g,2.9 g,0.72 g,0 g,0 g,3.10 g,2.00 g,0 mg,5.00 g
43,"Snack, Mixed Berry Bar",100 g,383,11 g,58.84 g,7.9 g,26.32 g,0 g,0 g,10.53 g,1.97 g,0 mg,15.52 g
44,"Fish, raw, sheepshead",100 g,108,2.4 g,0.00 g,0 g,0 g,0 g,0 g,2.41 g,1.09 g,0 mg,77.97 g
45,"Babyfood, pear, juice",100 g,47,0 g,11.86 g,0.1 g,7.28 g,0 g,0 g,0.00 g,0.24 g,0 mg,87.90 g
46,"Brussels sprouts, raw",100 g,43,0.3 g,8.95 g,3.8 g,2.20 g,0.81 g,0  g,0.30 g,1.37 g,0 mg,86.00 g
47,"Broccoli raab, cooked",100 g,33,0.5 g,3.12 g,2.8 g,0.62 g,0.23 g,0  g,0.52 g,1.11 g,0 mg,91.41 g
48,"Butter oil, anhydrous",100 g,876,99 g,0.00 g,0 g,0 g,0 g,0 g,99.48 g,0.00 g,0 mg,0.24 g
49,"Chicory, raw, witloof",100 g,17,0.1 g,4.00 g,3.1 g,0 g,0 g,0 g,0.10 g,0.47 g,0 mg,94.52 g
50,"KEEBLER, Waffle Cones",100 g,424,5.3 g,87.70 g,1.8 g,31.60 g,0 g,0 g,5.30 g,0 g,0 mg,2.00 g
51,"KEEBLER, Waffle Bowls",100 g,424,5.3 g,87.70 g,1.8 g,31.60 g,0 g,0 g,5.30 g,0 g,0 mg,2.00 g
52,"Broccoli, raw, leaves",100 g,28,0.4 g,5.06 g,2.3 g,1.48 g,0 g,0 g,0.35 g,0.92 g,0 mg,90.69 g
53,"Durian, raw or frozen",100 g,147,5.3 g,27.09 g,3.8 g,0 g,0 g,0 g,5.33 g,1.12 g,0 mg,64.99 g
54,"Tomatoes, raw, orange",100 g,16,0.2 g,3.18 g,0.9 g,0 g,0 g,0 g,0.19 g,0.69 g,0 mg,94.78 g
55,"Tomatoes, raw, yellow",100 g,15,0.3 g,2.98 g,0.7 g,0 g,0 g,0 g,0.26 g,0.50 g,0 mg,95.28 g
56,"Egg custards, dry mix",100 g,410,6.4 g,82.80 g,0 g,0 g,0 g,0 g,6.40 g,2.20 g,0 mg,1.70 g
57,"Peanut flour, low fat",100 g,428,22 g,31.27 g,15.8 g,0 g,0 g,0 g,21.90 g,5.23 g,0 mg,7.80 g
58,"Fish, smoked, haddock",100 g,116,1 g,0.00 g,0 g,0 g,0 g,0 g,0.96 g,1.62 g,0 mg,71.48 g
59,"DENNY'S, french fries",100 g,282,14 g,35.20 g,3.5 g,0.85 g,0.41 g,0  g,14.13 g,1.20 g,0 mg,46.05 g
60,"Ground turkey, cooked",100 g,203,10 g,0.00 g,0 g,0 g,0 g,0 g,10.40 g,1.26 g,0 mg,62.07 g
61,"MURRAY, Vanilla Wafer",100 g,461,17 g,72.90 g,1.4 g,31.50 g,0 g,0 g,17.40 g,0 g,0 mg,4.10 g
62,"WENDY'S, french fries",100 g,301,14 g,39.73 g,4.0 g,0.40 g,0.40 g,0  g,14.10 g,1.83 g,0 mg,40.62 g
63,"Bread, toasted, wheat",100 g,313,4.3 g,55.77 g,4.7 g,6.42 g,0 g,0 g,4.27 g,2.77 g,0 mg,24.23 g
64,"Danish pastry, cheese",100 g,374,22 g,37.20 g,1.0 g,6.95 g,0 g,0 g,21.90 g,1.50 g,0 mg,31.40 g
65,"Nuts, glazed, walnuts",100 g,500,36 g,47.59 g,3.6 g,32.14 g,0 g,0 g,35.71 g,2.13 g,0 mg,6.28 g
66,"Spices, garlic powder",100 g,331,0.7 g,72.73 g,9.0 g,2.43 g,0.07 g,0  g,0.73 g,3.54 g,0 mg,6.45 g
67,"Oil, soybean lecithin",100 g,763,100 g,0.00 g,0 g,0 g,0 g,0 g,100.00 g,0.00 g,0 mg,0.00 g
68,"Egg, fresh, raw, yolk",100 g,322,27 g,3.59 g,0 g,0.56 g,0.18 g,0.07 g,26.54 g,1.71 g,0 mg,52.31 g
69,"Fireweed, raw, leaves",100 g,103,2.8 g,19.22 g,10.6 g,0 g,0 g,0 g,2.75 g,2.54 g,0 mg,70.78 g
70,"Beef, pastrami, cured",100 g,147,5.8 g,0.36 g,0 g,0.10 g,0.00 g,0  g,5.82 g,3.40 g,0 mg,69.53 g
71,"Ice creams, chocolate",100 g,216,11 g,28.20 g,1.2 g,25.36 g,0 g,0 g,11.00 g,1.00 g,3.00 mg,55.70 g
72,"Snacks, potato sticks",100 g,522,34 g,53.30 g,3.4 g,0.22 g,0 g,0 g,34.40 g,3.30 g,0 mg,2.20 g
73,"USDA Commodity, salsa",100 g,36,0.2 g,7.00 g,1.4 g,0 g,0 g,0 g,0.20 g,1.60 g,0 mg,89.70 g
74,"Figs, uncooked, dried",100 g,249,0.9 g,63.87 g,9.8 g,47.92 g,24.79 g,0  g,0.93 g,1.86 g,0 mg,30.05 g
75,"Game meat, raw, horse",100 g,133,4.6 g,0.00 g,0 g,0 g,0 g,0 g,4.60 g,0.99 g,0 mg,72.63 g
76,"Syrup, fruit flavored",100 g,261,0 g,65.10 g,0 g,65.00 g,0 g,0 g,0.02 g,0.06 g,0 mg,34.82 g
77,"Broccoli, raw, stalks",100 g,28,0.4 g,5.24 g,0 g,0 g,0 g,0 g,0.35 g,0.92 g,0 mg,90.69 g
78,"Cream, cultured, sour",100 g,198,19 g,4.63 g,0 g,3.41 g,0.00 g,3.41 g,19.35 g,0.51 g,0 mg,73.07 g
79,"Gravy, canned, au jus",100 g,16,0.2 g,2.50 g,0 g,0 g,0 g,0 g,0.20 g,1.60 g,0 mg,94.50 g
80,"Crackers, whole-wheat",100 g,427,14 g,69.55 g,10.3 g,1.19 g,0.32 g,0  g,14.13 g,2.80 g,0 mg,2.94 g
81,"Peanuts, raw, spanish",100 g,570,50 g,15.83 g,9.5 g,0 g,0 g,0 g,49.60 g,2.03 g,0 mg,6.39 g
82,"Hominy, white, canned",100 g,72,0.9 g,14.26 g,2.5 g,1.82 g,0 g,0 g,0.88 g,0.86 g,0 mg,82.53 g
83,"Game meat, raw, moose",100 g,102,0.7 g,0.00 g,0 g,0 g,0 g,0 g,0.74 g,1.13 g,0 mg,75.55 g
84,"Pears, red anjou, raw",100 g,62,0.1 g,14.94 g,3.0 g,9.54 g,2.74 g,0 g,0.14 g,0.35 g,0 mg,84.24 g
85,"Horseradish, prepared",100 g,48,0.7 g,11.29 g,3.3 g,7.99 g,0 g,0 g,0.69 g,1.76 g,0 mg,85.08 g
86,"Fish, raw, butterfish",100 g,146,8 g,0.00 g,0 g,0 g,0 g,0 g,8.02 g,1.20 g,0 mg,74.13 g
87,"Lebanon bologna, beef",100 g,172,10 g,0.44 g,0 g,0 g,0 g,0 g,10.44 g,4.32 g,0 mg,65.77 g
88,Ham and cheese spread,100 g,245,19 g,2.28 g,0 g,0 g,0 g,0 g,18.53 g,3.90 g,0 mg,59.13 g
89,"TACO BELL, Taco Salad",100 g,170,9.2 g,15.10 g,3.0 g,0 g,0.26 g,0.15 g,9.17 g,1.71 g,0 mg,67.32 g
90,"Sauce, worcestershire",100 g,78,0 g,19.46 g,0 g,10.03 g,0 g,0 g,0.00 g,2.00 g,0 mg,78.54 g
91,"Candies, marshmallows",100 g,318,0.2 g,81.30 g,0.1 g,57.56 g,0 g,0 g,0.20 g,0.30 g,0 mg,16.40 g
92,"Hummus, home prepared",100 g,177,8.6 g,20.12 g,4.0 g,0.27 g,0 g,0 g,8.59 g,1.56 g,0 mg,64.87 g
93,Horned melon (Kiwano),100 g,44,1.3 g,7.56 g,0 g,0 g,0 g,0 g,1.26 g,0.44 g,0 mg,88.97 g
